MouseID,AgeInDays,Phenotyping
DO-AL-0001,139,grip
DO-AL-0001,306,grip
DO-AL-0001,486,grip
DO-AL-0001,682,grip
DO-AL-0001,850,grip
DO-20-1001,139,grip
DO-20-1001,306,grip
DO-20-1001,486,grip
DO-20-1001,850,grip
DO-20-1001,1039,grip
DO-40-2001,139,grip
DO-40-2001,306,grip
DO-40-2001,486,grip
DO-40-2001,682,grip
DO-40-2001,850,grip
DO-40-2001,1039,grip
DO-1D-3001,139,grip
DO-1D-3001,306,grip
DO-1D-3001,486,grip
DO-1D-3001,681,grip
DO-1D-3001,850,grip
DO-2D-4001,139,grip
DO-2D-4001,306,grip
DO-2D-4001,486,grip
DO-2D-4001,681,grip
DO-2D-4001,850,grip
DO-AL-0002,139,grip
DO-AL-0002,306,grip
DO-AL-0002,486,grip
DO-AL-0002,682,grip
DO-20-1002,139,grip
DO-20-1002,306,grip
DO-20-1002,486,grip
DO-40-2002,139,grip
DO-40-2002,306,grip
DO-40-2002,486,grip
DO-40-2002,682,grip
DO-40-2002,850,grip
DO-40-2002,1039,grip
DO-1D-3002,139,grip
DO-1D-3002,306,grip
DO-1D-3002,486,grip
DO-1D-3002,681,grip
DO-2D-4002,139,grip
DO-2D-4002,306,grip
DO-2D-4002,486,grip
DO-2D-4002,681,grip
DO-2D-4002,850,grip
DO-2D-4002,1039,grip
DO-AL-0003,139,grip
DO-AL-0003,306,grip
DO-AL-0003,486,grip
DO-AL-0003,682,grip
DO-AL-0003,850,grip
DO-20-1003,139,grip
DO-20-1003,306,grip
DO-20-1003,486,grip
DO-20-1003,850,grip
DO-20-1003,1039,grip
DO-40-2003,139,grip
DO-40-2003,306,grip
DO-40-2003,486,grip
DO-40-2003,682,grip
DO-40-2003,850,grip
DO-40-2003,1039,grip
DO-1D-3003,139,grip
DO-1D-3003,306,grip
DO-1D-3003,486,grip
DO-1D-3003,681,grip
DO-1D-3003,850,grip
DO-2D-4003,139,grip
DO-2D-4003,306,grip
DO-2D-4003,486,grip
DO-2D-4003,681,grip
DO-2D-4003,850,grip
DO-2D-4003,1039,grip
DO-AL-0004,139,grip
DO-AL-0004,306,grip
DO-AL-0004,486,grip
DO-AL-0004,682,grip
DO-AL-0004,850,grip
DO-20-1004,139,grip
DO-20-1004,306,grip
DO-20-1004,486,grip
DO-20-1004,850,grip
DO-20-1004,1039,grip
DO-40-2004,139,grip
DO-40-2004,306,grip
DO-40-2004,486,grip
DO-1D-3004,139,grip
DO-1D-3004,306,grip
DO-1D-3004,486,grip
DO-2D-4004,139,grip
DO-2D-4004,306,grip
DO-2D-4004,486,grip
DO-2D-4004,681,grip
DO-2D-4004,850,grip
DO-AL-0005,139,grip
DO-AL-0005,306,grip
DO-AL-0005,486,grip
DO-AL-0005,682,grip
DO-AL-0005,850,grip
DO-20-1005,139,grip
DO-20-1005,306,grip
DO-40-2005,139,grip
DO-40-2005,306,grip
DO-40-2005,486,grip
DO-40-2005,682,grip
DO-2D-4005,139,grip
DO-2D-4005,306,grip
DO-2D-4005,486,grip
DO-AL-0006,139,grip
DO-AL-0006,306,grip
DO-AL-0006,486,grip
DO-AL-0006,682,grip
DO-20-1006,139,grip
DO-20-1006,306,grip
DO-20-1006,486,grip
DO-20-1006,850,grip
DO-20-1006,1039,grip
DO-40-2006,139,grip
DO-40-2006,306,grip
DO-40-2006,486,grip
DO-40-2006,682,grip
DO-1D-3006,139,grip
DO-2D-4006,139,grip
DO-2D-4006,306,grip
DO-2D-4006,486,grip
DO-2D-4006,681,grip
DO-AL-0007,139,grip
DO-AL-0007,306,grip
DO-AL-0007,486,grip
DO-AL-0007,682,grip
DO-AL-0007,850,grip
DO-20-1007,139,grip
DO-20-1007,306,grip
DO-20-1007,486,grip
DO-40-2007,139,grip
DO-40-2007,306,grip
DO-40-2007,486,grip
DO-40-2007,682,grip
DO-40-2007,850,grip
DO-1D-3007,139,grip
DO-1D-3007,306,grip
DO-1D-3007,486,grip
DO-2D-4007,139,grip
DO-2D-4007,306,grip
DO-2D-4007,486,grip
DO-2D-4007,681,grip
DO-AL-0008,139,grip
DO-AL-0008,306,grip
DO-AL-0008,486,grip
DO-20-1008,139,grip
DO-20-1008,306,grip
DO-20-1008,486,grip
DO-20-1008,850,grip
DO-20-1008,1039,grip
DO-40-2008,139,grip
DO-40-2008,306,grip
DO-40-2008,486,grip
DO-40-2008,682,grip
DO-40-2008,850,grip
DO-1D-3008,139,grip
DO-1D-3008,306,grip
DO-1D-3008,486,grip
DO-2D-4008,139,grip
DO-2D-4008,306,grip
DO-AL-0009,139,grip
DO-AL-0009,306,grip
DO-20-1009,139,grip
DO-20-1009,306,grip
DO-20-1009,486,grip
DO-20-1009,682,grip
DO-20-1009,850,grip
DO-1D-3009,139,grip
DO-1D-3009,306,grip
DO-2D-4009,139,grip
DO-2D-4009,306,grip
DO-2D-4009,486,grip
DO-2D-4009,681,grip
DO-2D-4009,850,grip
DO-AL-0010,139,grip
DO-AL-0010,306,grip
DO-AL-0010,486,grip
DO-AL-0010,682,grip
DO-20-1010,139,grip
DO-20-1010,306,grip
DO-20-1010,486,grip
