mouse_id,AL,20,40,1D,2D
DO-1D-3001,0,0,0,1,0
DO-1D-3002,0,0,0,1,0
DO-1D-3003,0,0,0,1,0
DO-1D-3004,0,0,0,1,0
DO-1D-3005,0,0,0,1,0
DO-1D-3006,0,0,0,1,0
DO-1D-3007,0,0,0,1,0
DO-1D-3008,0,0,0,1,0
DO-1D-3009,0,0,0,1,0
DO-1D-3010,0,0,0,1,0
DO-1D-3011,0,0,0,1,0
DO-1D-3012,0,0,0,1,0
DO-1D-3013,0,0,0,1,0
DO-1D-3014,0,0,0,1,0
DO-1D-3015,0,0,0,1,0
DO-1D-3016,0,0,0,1,0
DO-1D-3017,0,0,0,1,0
DO-1D-3018,0,0,0,1,0
DO-1D-3019,0,0,0,1,0
DO-1D-3020,0,0,0,1,0
DO-1D-3021,0,0,0,1,0
DO-1D-3022,0,0,0,1,0
DO-1D-3023,0,0,0,1,0
DO-1D-3024,0,0,0,1,0
DO-1D-3025,0,0,0,1,0
DO-1D-3026,0,0,0,1,0
DO-1D-3027,0,0,0,1,0
DO-1D-3028,0,0,0,1,0
DO-1D-3029,0,0,0,1,0
DO-1D-3030,0,0,0,1,0
DO-1D-3031,0,0,0,1,0
DO-1D-3032,0,0,0,1,0
DO-1D-3033,0,0,0,1,0
DO-1D-3034,0,0,0,1,0
DO-1D-3035,0,0,0,1,0
DO-1D-3036,0,0,0,1,0
DO-1D-3037,0,0,0,1,0
DO-1D-3038,0,0,0,1,0
DO-1D-3039,0,0,0,1,0
DO-1D-3040,0,0,0,1,0
DO-1D-3041,0,0,0,1,0
DO-1D-3042,0,0,0,1,0
DO-1D-3043,0,0,0,1,0
DO-1D-3044,0,0,0,1,0
DO-1D-3045,0,0,0,1,0
DO-1D-3046,0,0,0,1,0
DO-1D-3047,0,0,0,1,0
DO-1D-3048,0,0,0,1,0
DO-1D-3049,0,0,0,1,0
DO-1D-3050,0,0,0,1,0
DO-1D-3051,0,0,0,1,0
DO-1D-3052,0,0,0,1,0
DO-1D-3053,0,0,0,1,0
DO-1D-3054,0,0,0,1,0
DO-1D-3055,0,0,0,1,0
DO-1D-3056,0,0,0,1,0
DO-1D-3057,0,0,0,1,0
DO-1D-3058,0,0,0,1,0
DO-1D-3059,0,0,0,1,0
DO-1D-3060,0,0,0,1,0
DO-1D-3061,0,0,0,1,0
DO-1D-3062,0,0,0,1,0
DO-1D-3063,0,0,0,1,0
DO-1D-3064,0,0,0,1,0
DO-1D-3065,0,0,0,1,0
DO-1D-3066,0,0,0,1,0
DO-1D-3067,0,0,0,1,0
DO-1D-3068,0,0,0,1,0
DO-1D-3069,0,0,0,1,0
DO-1D-3070,0,0,0,1,0
DO-1D-3071,0,0,0,1,0
DO-1D-3072,0,0,0,1,0
DO-1D-3073,0,0,0,1,0
DO-1D-3074,0,0,0,1,0
DO-1D-3075,0,0,0,1,0
DO-1D-3076,0,0,0,1,0
DO-1D-3077,0,0,0,1,0
DO-1D-3078,0,0,0,1,0
DO-1D-3079,0,0,0,1,0
DO-1D-3080,0,0,0,1,0
DO-1D-3081,0,0,0,1,0
DO-1D-3082,0,0,0,1,0
DO-1D-3083,0,0,0,1,0
DO-1D-3084,0,0,0,1,0
DO-1D-3085,0,0,0,1,0
DO-1D-3086,0,0,0,1,0
DO-1D-3087,0,0,0,1,0
DO-1D-3088,0,0,0,1,0
DO-1D-3089,0,0,0,1,0
DO-1D-3090,0,0,0,1,0
DO-1D-3091,0,0,0,1,0
DO-1D-3092,0,0,0,1,0
DO-1D-3093,0,0,0,1,0
DO-1D-3094,0,0,0,1,0
DO-1D-3095,0,0,0,1,0
DO-1D-3096,0,0,0,1,0
DO-1D-3097,0,0,0,1,0
DO-1D-3098,0,0,0,1,0
DO-1D-3099,0,0,0,1,0
DO-1D-3100,0,0,0,1,0
DO-1D-3101,0,0,0,1,0
DO-1D-3102,0,0,0,1,0
