MouseID,weighted.pre.state.occupancy.DS,weighted.pre.state.occupancy.SS,weighted.pre.state.occupancy.GS,weighted.post.state.occupancy.DS,weighted.post.state.occupancy.SS,weighted.post.state.occupancy.GS,pre.longest.bout.DS,pre.longest.bout.SS,pre.longest.bout.GS,post.longest.bout.DS,post.longest.bout.SS,post.longest.bout.GS,pre.longest.bout.survival.DS,pre.longest.bout.survival.SS,pre.longest.bout.survival.GS,post.longest.bout.survival.DS,post.longest.bout.survival.SS,post.longest.bout.survival.GS,weighted.pre.max.abs.growthrate.DS,weighted.pre.max.abs.growthrate.SS,weighted.pre.max.abs.growthrate.GS,weighted.post.max.abs.growthrate.DS,weighted.post.max.abs.growthrate.SS,weighted.post.max.abs.growthrate.GS,weighted.pre.max.abs.growthrate.percent.DS,weighted.pre.max.abs.growthrate.percent.SS,weighted.pre.max.abs.growthrate.percent.GS,weighted.post.max.abs.growthrate.percent.DS,weighted.post.max.abs.growthrate.percent.SS,weighted.post.max.abs.growthrate.percent.GS,weighted.pre.state.transitions.DS.DS,weighted.pre.state.transitions.SS.DS,weighted.pre.state.transitions.GS.DS,weighted.pre.state.transitions.DS.SS,weighted.pre.state.transitions.SS.SS,weighted.pre.state.transitions.GS.SS,weighted.pre.state.transitions.DS.GS,weighted.pre.state.transitions.SS.GS,weighted.pre.state.transitions.GS.GS,weighted.post.state.transitions.DS.DS,weighted.post.state.transitions.SS.DS,weighted.post.state.transitions.GS.DS,weighted.post.state.transitions.DS.SS,weighted.post.state.transitions.SS.SS,weighted.post.state.transitions.GS.SS,weighted.post.state.transitions.DS.GS,weighted.post.state.transitions.SS.GS,weighted.post.state.transitions.GS.GS,pre.start.time.longest.bout.DS,pre.start.time.longest.bout.SS,pre.start.time.longest.bout.GS,post.start.time.longest.bout.DS,post.start.time.longest.bout.SS,post.start.time.longest.bout.GS,pre.start.time.longest.bout.survival.DS,pre.start.time.longest.bout.survival.SS,pre.start.time.longest.bout.survival.GS,post.start.time.longest.bout.survival.DS,post.start.time.longest.bout.survival.SS,post.start.time.longest.bout.survival.GS,pre.start.time.max.abs.growthrate.DS,pre.start.time.max.abs.growthrate.SS,pre.start.time.max.abs.growthrate.GS,post.start.time.max.abs.growthrate.DS,post.start.time.max.abs.growthrate.SS,post.start.time.max.abs.growthrate.GS,pre.start.time.max.abs.growthrate.survival.DS,pre.start.time.max.abs.growthrate.survival.SS,pre.start.time.max.abs.growthrate.survival.GS,post.start.time.max.abs.growthrate.survival.DS,post.start.time.max.abs.growthrate.survival.SS,post.start.time.max.abs.growthrate.survival.GS
DO-1D-3175,0.14373867276882876,0.08876014894907501,0.7675011782820962,0.19458108004120037,0.5405035255880547,0.2649153943707448,10.0,,140.0,30.0,210.0,60.0,0.010111223458038422,,0.14155712841253792,0.030333670374115267,0.2123356926188069,0.06066734074823053,2.6754445872369406,0.32133796868648984,4.485875267744642,10.559999998457025,1.70636046642238,3.0588801032497503,0.06468676468174421,0.009641103170911786,0.1217829582664488,0.28979143793789863,0.04063730570189045,0.06215972573155355,0.2735122001837255,0.05022094873205737,0.676266851084217,0.4381675964455586,0.5618324035539258,5.154801112156872e-13,0.12287577316936735,0.02461003717790021,0.8525141896527324,0.3799005282519469,0.2567393747067862,0.36336009704126676,0.17733182956146454,0.8226681704385163,1.9179895100149783e-14,0.20721944417186808,0.19755698758159326,0.5952235682465387,140.0,,0.0,680.0,190.0,710.0,0.14155712841253792,,0.0,0.6875631951466128,0.19211324570273003,0.717896865520728,130.0,0.0,120.0,990.0,260.0,740.0,0.13144590495449948,0.0,0.12133468149646107,1.0010111223458038,0.26289180990899896,0.7482305358948432
DO-1D-3124,0.12225759504931993,0.18415776569456233,0.6935846392561178,0.2430558439031193,0.5113656156419417,0.24557854045493893,20.0,20.0,100.0,20.0,120.0,40.0,0.019011406844106463,0.019011406844106463,0.09505703422053231,0.019011406844106463,0.11406844106463879,0.03802281368821293,0.8899226094475632,0.573664220691962,1.9316536745917903,4.414779316660594,1.3079149830842849,3.9406759876534263,0.03156593453746788,0.021441383692467276,0.10296661378421056,0.16224841296069806,0.0448530515461003,0.13412784164919764,0.25697701764729136,0.117208941071409,0.6258140412812996,0.18072327253751944,0.8192767274624079,7.26935968139576e-14,0.11764155233413047,0.06518384398192802,0.8171746036839416,0.4099893825875402,0.23386298893348345,0.35614762847897646,0.2008691005593892,0.7991308994405718,3.9106279225182887e-14,0.22943158745313194,0.1795954699370736,0.5909729426097944,100.0,130.0,0.0,200.0,900.0,660.0,0.09505703422053231,0.12357414448669202,0.0,0.19011406844106463,0.8555133079847909,0.6273764258555133,100.0,130.0,10.0,700.0,380.0,870.0,0.09505703422053231,0.12357414448669202,0.009505703422053232,0.6653992395437263,0.3612167300380228,0.8269961977186312
DO-1D-3155,0.08628870010966021,0.20093263601665107,0.7127786638736888,0.03875481860230697,0.948387442207557,0.012857739190136188,10.0,30.0,80.0,10.0,580.0,,0.009900990099009901,0.0297029702970297,0.07920792079207921,0.009900990099009901,0.5742574257425742,,1.9906574209986814,0.6207546865747687,1.894949873547917,1.4757308150530104,1.3940265196028998,0.10954246207976161,0.06926435006954354,0.01911190537483894,0.07183282310644114,0.04432955287032173,0.05569422771086295,0.0032208897994637346,0.1779124174861504,0.18971775393248458,0.632369828581365,0.14618769076577273,0.8538123092341985,2.878653266618733e-14,0.08472734961469164,0.11859383008374169,0.7966788203015666,0.27921343838474344,0.5660016188721557,0.15478494274310087,0.028725253837494434,0.971274746162505,4.316522505962072e-16,0.14361465571095686,0.4887707266617271,0.3676146176273161,80.0,120.0,0.0,430.0,440.0,,0.07920792079207921,0.1188118811881188,0.0,0.42574257425742573,0.43564356435643564,,70.0,130.0,90.0,430.0,310.0,180.0,0.06930693069306931,0.12871287128712872,0.0891089108910891,0.42574257425742573,0.3069306930693069,0.1782178217821782
DO-1D-3031,0.045720929710562706,0.016821912653182305,0.9374571576362549,0.09409514022752148,0.8254552262697136,0.08044963350276502,,,150.0,30.0,350.0,20.0,,,0.15321756894790603,0.030643513789581207,0.3575076608784474,0.020429009193054137,0.34541123629553966,0.12387370480916957,2.7451878279619466,5.179705205575048,1.7416337714789543,2.4907047759578584,0.010899691899512138,0.0034864538364528445,0.08944893541746322,0.13984085328226373,0.04159622095722365,0.06276977761990571,0.14255069145825683,0.024167280661638025,0.8332820278801051,0.27654341333976595,0.7234565866600109,2.232404028090007e-13,0.03905863313144437,0.009043000116911445,0.9518983667516442,0.2784874432322037,0.4732800851933373,0.24823247157445902,0.0703355781526244,0.9296644218473741,1.6720416207932239e-15,0.14938159879540344,0.35821655630493,0.4924018448996666,,,0.0,800.0,330.0,180.0,,,0.0,0.8171603677221655,0.33707865168539325,0.18386108273748722,0.0,0.0,110.0,310.0,250.0,320.0,0.0,0.0,0.11235955056179775,0.3166496424923391,0.2553626149131767,0.3268641470888662
DO-1D-3073,0.12307526437098042,0.49112412017387924,0.3858006154551402,0.1355673887913828,0.5769974612229251,0.2874351499856921,10.0,120.0,10.0,20.0,230.0,60.0,0.011695906432748537,0.14035087719298245,0.011695906432748537,0.023391812865497075,0.26900584795321636,0.07017543859649122,1.180154884484465,1.0470224675275437,0.9942358445823186,3.5273625192104325,1.7621772573146925,3.916269340913834,0.04354815071898394,0.04794058917250658,0.045523619257432174,0.10650249152205413,0.04290667780167257,0.09822596791858124,0.25705441237464394,0.1613869363452842,0.5815586512800718,0.13922448822658223,0.8607755117734045,1.3139711331340733e-14,0.09193351371851086,0.08838151355049564,0.8196849727309934,0.30859463787776115,0.28849562675118867,0.4029097353710501,0.17797910487583232,0.8220208951240375,1.3025927932767722e-13,0.15724134043789065,0.205727822668787,0.6370308368933223,130.0,10.0,0.0,420.0,560.0,800.0,0.15204678362573099,0.011695906432748537,0.0,0.49122807017543857,0.6549707602339181,0.935672514619883,120.0,60.0,130.0,420.0,730.0,540.0,0.14035087719298245,0.07017543859649122,0.15204678362573099,0.49122807017543857,0.8538011695906432,0.631578947368421
DO-1D-3037,0.06651203504951463,0.2552447323992503,0.678243232551235,0.03776322648118592,0.9470791872357762,0.015157586283038132,,40.0,110.0,,820.0,,,0.04024144869215292,0.11066398390342053,,0.8249496981891348,,0.32315608010101404,0.8182021533645051,2.7828247369893058,0.5021083438840085,1.4093735048277916,0.149860025864763,0.01130311577827961,0.025105926767858392,0.13966498052643944,0.015439985974293002,0.040198902020188006,0.004204826763882239,0.19271985440694767,0.21126715196508505,0.5960129936279673,0.2945538818845259,0.7054461181151607,3.133974693003346e-13,0.06297733107526098,0.14486618719199656,0.7921564817327423,0.2769468762171258,0.5444183875292014,0.17863473625367277,0.026493205782961993,0.9735067942170376,5.062522940503746e-16,0.1415665137562104,0.44923751640770637,0.40919596983608314,,110.0,0.0,,180.0,,,0.11066398390342053,0.0,,0.18108651911468812,,0.0,100.0,80.0,180.0,760.0,180.0,0.0,0.1006036217303823,0.08048289738430583,0.18108651911468812,0.7645875251509054,0.18108651911468812
DO-1D-3153,0.03768596077258216,0.4822825580020685,0.4800314812253493,0.1262174943096702,0.7735462726233117,0.10023623306701795,,80.0,70.0,30.0,250.0,40.0,,0.09696969696969697,0.08484848484848485,0.03636363636363636,0.30303030303030304,0.048484848484848485,0.17662141802416526,1.099382303696651,2.6580197761318685,3.6154129701615436,2.0305268418953015,2.0533353922190165,0.006767104138856906,0.04055264860555703,0.154896257350342,0.10353416294849781,0.06450212331306548,0.061129365651057345,0.15455461950147245,0.36335852212076325,0.48208685837776427,0.0780363726875806,0.9219636273123415,7.786788855933482e-14,0.05385774814392637,0.26882882433129096,0.6773134275247826,0.312969729395568,0.39676855353845436,0.2902617170659776,0.09797211712555906,0.9020278828744359,4.960716773590963e-15,0.17153471506812434,0.29432254737301006,0.5341427375588655,,70.0,0.0,800.0,180.0,440.0,,0.08484848484848485,0.0,0.9696969696969697,0.21818181818181817,0.5333333333333333,0.0,110.0,0.0,800.0,240.0,440.0,0.0,0.13333333333333333,0.0,0.9696969696969697,0.2909090909090909,0.5333333333333333
DO-1D-3089,0.10939640233438323,0.5558697382574675,0.33473385940814915,0.19407905805370185,0.6242877279827589,0.1816332139635392,10.0,80.0,30.0,30.0,140.0,30.0,0.0129366106080207,0.1034928848641656,0.03880983182406209,0.03880983182406209,0.18111254851228978,0.03880983182406209,2.0771488869568207,0.9492519481727113,1.350031613451956,2.9352429963635394,1.8047964522585638,3.9645251193874453,0.08115447888090724,0.04112876725185058,0.05781719971956985,0.12283921307233894,0.05947590879085727,0.14754466391467977,0.2385290402475834,0.28132675854149275,0.48014420121092377,0.08238313619998248,0.9176168638000145,3.039026700979265e-15,0.11174806507959979,0.1556054071120053,0.7326465278083949,0.40233202070808366,0.278885724176087,0.3187822551158294,0.1814095464425436,0.8185904535573553,1.0122194471880781e-13,0.2408141251863907,0.2075086254714299,0.5516772493421794,110.0,30.0,0.0,720.0,460.0,300.0,0.1423027166882277,0.03880983182406209,0.0,0.9314359637774903,0.5950840879689522,0.38809831824062097,100.0,70.0,120.0,740.0,530.0,760.0,0.129366106080207,0.09055627425614489,0.15523932729624837,0.9573091849935317,0.685640362225097,0.9831824062095731
DO-1D-3171,0.04914848658979543,0.03632096472855918,0.9145305486816452,0.16412092260369188,0.7079342856425873,0.12794479175372087,,,150.0,40.0,240.0,20.0,,,0.17584994138335286,0.04689331770222743,0.2813599062133646,0.023446658851113716,0.1284020814286217,0.12440623087320306,2.5720740210389392,5.059845546856196,1.3380994980841396,2.495320568501086,0.0035188293074437296,0.0034794079393987713,0.08350889678697855,0.16259143788098318,0.030318330080075666,0.05799025257962087,0.1529030169333982,0.03454542198860858,0.8125515610779932,0.4165400921398724,0.583459907859814,3.1370279163431344e-13,0.036761849690867716,0.01623080757340613,0.9470073427357262,0.3494221209645778,0.41030626145356475,0.2402716175818575,0.139107754079379,0.860892245920618,2.873035057070303e-15,0.2214140761345886,0.32477821282838687,0.45380771103702466,,,0.0,820.0,450.0,180.0,,,0.0,0.9613130128956624,0.5275498241500586,0.21101992966002345,0.0,0.0,90.0,840.0,740.0,440.0,0.0,0.0,0.10550996483001172,0.984759671746776,0.8675263774912075,0.5158264947245017
DO-1D-3114,0.10674345269810435,0.2286000884780221,0.6646564588238736,0.22952434205496533,0.5860032500328926,0.1844724079121421,10.0,,70.0,50.0,180.0,20.0,0.008960573476702509,,0.06272401433691756,0.044802867383512544,0.16129032258064516,0.017921146953405017,0.43732333289989206,0.6041487678061768,4.6726774301612615,2.9418146379716696,1.1975471290676605,3.319407565023217,0.01874912466880566,0.02036227731062274,0.20749011679224075,0.0867408119702689,0.0513527928416664,0.08431312077783128,0.25304049765584913,0.12828345344365014,0.6186760489005008,0.19257181296150605,0.8074281870370075,1.4864922678510418e-12,0.07731953594942213,0.06865013624531432,0.8540303278052636,0.4170266962030217,0.2756709528328783,0.3073023509641,0.1865880312179836,0.8134119687819896,2.669486207955223e-14,0.24658458713101072,0.21985666247635902,0.5335587503926302,70.0,,0.0,670.0,470.0,180.0,0.06272401433691756,,0.0,0.600358422939068,0.4211469534050179,0.16129032258064516,60.0,0.0,70.0,320.0,1080.0,660.0,0.053763440860215055,0.0,0.06272401433691756,0.2867383512544803,0.967741935483871,0.5913978494623656
