param,covariate,longest.bout.180.to.360.DS
coef,phenotype,0.010442562064309177
coef,body_weight,-0.022520655827020352
coef,AL,
coef,1D,0.13529914914171184
coef,2D,0.3399053332307621
coef,20,0.049195614595922206
coef,40,-0.13117551834900085
coef,bwxAL,
coef,bwx1D,-0.0055376418174375615
coef,bwx2D,-0.011806921994052137
coef,bwx20,-0.00848402682600794
coef,bwx40,-0.020766059660475546
se(coef),phenotype,0.00714007986787796
se(coef),body_weight,0.00800582549992858
se(coef),AL,
se(coef),1D,0.20994187035928838
se(coef),2D,0.21107660825052998
se(coef),20,0.21135956239226797
se(coef),40,0.21990245544652107
se(coef),bwxAL,
se(coef),bwx1D,0.010219899624132438
se(coef),bwx2D,0.01058923714939202
se(coef),bwx20,0.011790166817837962
se(coef),bwx40,0.01364526885382319
p,phenotype,0.1435967561320501
p,body_weight,0.004907652850938988
p,AL,
p,1D,0.5192771527846451
p,2D,0.10732341578778025
p,20,0.8159493813538785
p,40,0.5508300058218487
p,bwxAL,
p,bwx1D,0.587922571257488
p,bwx2D,0.26485355508131325
p,bwx20,0.4717805692691257
p,bwx40,0.12804653660865356
