param,covariate,longest.bout.360.to.540.GS
coef,phenotype,0.0007320573868037414
coef,body_weight,-0.004051753243846844
coef,AL,
coef,1D,-0.02148588729011779
coef,2D,-0.03341026727603725
coef,20,-0.1240806375141974
coef,40,-0.31468380379340016
coef,bwxAL,
coef,bwx1D,-0.004912202036510576
coef,bwx2D,-0.0059818245767274585
coef,bwx20,0.0007328011426825926
coef,bwx40,-0.0053464977420165805
se(coef),phenotype,0.004082542672328103
se(coef),body_weight,0.004305129369295587
se(coef),AL,
se(coef),1D,0.14640853019773434
se(coef),2D,0.1485135939215584
se(coef),20,0.15680839290867638
se(coef),40,0.17459469468221103
se(coef),bwxAL,
se(coef),bwx1D,0.006230710182821798
se(coef),bwx2D,0.007453732283070015
se(coef),bwx20,0.007698669998539951
se(coef),bwx40,0.01529258166119247
p,phenotype,0.8576910911252897
p,body_weight,0.34663028808554874
p,AL,
p,1D,0.8833270036568944
p,2D,0.8220069914732004
p,20,0.4287758083273103
p,40,0.0714876045968584
p,bwxAL,
p,bwx1D,0.4304712052236521
p,bwx2D,0.42224793071778455
p,bwx20,0.9241675499963401
p,bwx40,0.7266285452360612
