param,covariate,post.longest.bout.DS
coef,phenotype,0.004235505901937283
coef,body_weight,-0.08658757093517967
coef,AL,
coef,1D,-0.9122024383711148
coef,2D,-0.455889482048505
coef,20,-0.7852894897030525
coef,40,1.0539128159817055
coef,bwxAL,
coef,bwx1D,0.020732047844171205
coef,bwx2D,-0.0037579676015386484
coef,bwx20,-0.005256127106023183
coef,bwx40,-0.13980561267428998
se(coef),phenotype,0.001756063793885389
se(coef),body_weight,0.009830050626074964
se(coef),AL,
se(coef),1D,0.47432705624976806
se(coef),2D,0.49658511192180227
se(coef),20,0.48035709777369445
se(coef),40,0.573927705848974
se(coef),bwxAL,
se(coef),bwx1D,0.014194649748336606
se(coef),bwx2D,0.01575883739031259
se(coef),bwx20,0.015801266698700415
se(coef),bwx40,0.024779761742492253
p,phenotype,0.0158682545433895
p,body_weight,1.268810604554312e-18
p,AL,
p,1D,0.0544611191844539
p,2D,0.3585931957361428
p,20,0.10209023591871705
p,40,0.06631088663180612
p,bwxAL,
p,bwx1D,0.14413796743670831
p,bwx2D,0.8115186649358233
p,bwx20,0.7394063440817868
p,bwx40,1.6815716860486625e-08
