param,covariate,post.longest.bout.GS
coef,phenotype,0.007682142665572711
coef,body_weight,-0.08436531066480348
coef,AL,
coef,1D,-1.0104493600971656
coef,2D,-0.655435568331433
coef,20,-1.1288643263935425
coef,40,0.6952750239028375
coef,bwxAL,
coef,bwx1D,0.023563204669462944
coef,bwx2D,0.004296779146380813
coef,bwx20,0.0051851394080238405
coef,bwx40,-0.11985278076413632
se(coef),phenotype,0.0018682091540196703
se(coef),body_weight,0.01000973933276299
se(coef),AL,
se(coef),1D,0.4826697585316476
se(coef),2D,0.5031126145153466
se(coef),20,0.5027365771739487
se(coef),40,0.6345895557113838
se(coef),bwxAL,
se(coef),bwx1D,0.014279078823516035
se(coef),bwx2D,0.015702439454103042
se(coef),bwx20,0.016470655706004287
se(coef),bwx40,0.027219593772275955
p,phenotype,3.9218569952022084e-05
p,body_weight,3.506557263052432e-17
p,AL,
p,1D,0.03630819850913523
p,2D,0.19265631797658267
p,20,0.024739962923616764
p,40,0.27324095588065933
p,bwxAL,
p,bwx1D,0.0989039155887315
p,bwx2D,0.7843630721728881
p,bwx20,0.7529053522544111
p,bwx40,1.0667540793444176e-05
