param,covariate,post.longest.bout.SS
coef,phenotype,-0.003884266095567669
coef,body_weight,-0.09818063724366526
coef,AL,
coef,1D,-0.8358994844977629
coef,2D,0.12058904980982431
coef,20,-0.5766901353407764
coef,40,1.5265869651282054
coef,bwxAL,
coef,bwx1D,0.017768557102801258
coef,bwx2D,-0.017855843716106205
coef,bwx20,-0.005153432781172227
coef,bwx40,-0.15242286147332418
se(coef),phenotype,0.0002589909382481474
se(coef),body_weight,0.009369243150235927
se(coef),AL,
se(coef),1D,0.46596208551710366
se(coef),2D,0.48289224537866204
se(coef),20,0.4671933664597885
se(coef),40,0.5701033354419476
se(coef),bwxAL,
se(coef),bwx1D,0.013924715783387455
se(coef),bwx2D,0.015317828684796322
se(coef),bwx20,0.015431281339481323
se(coef),bwx40,0.024782944409360547
p,phenotype,7.601800758608461e-51
p,body_weight,1.0783718768751438e-25
p,AL,
p,1D,0.07282567147198142
p,2D,0.8028019711932661
p,20,0.21706453678395557
p,40,0.007412132748513156
p,bwxAL,
p,bwx1D,0.20193978603321092
p,bwx2D,0.24373969920712213
p,bwx20,0.7384096418302442
p,bwx40,7.73302579824561e-10
