param,covariate,pre.longest.bout.SS
coef,phenotype,-0.0009877594281050952
coef,body_weight,-0.0010867054385062522
coef,AL,
coef,1D,0.04374379558751283
coef,2D,0.02511446514481957
coef,20,-0.12707995884334677
coef,40,-0.39753376894512754
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.0020394732486104577
se(coef),body_weight,0.005992212489844201
se(coef),AL,
se(coef),1D,0.10868081438696925
se(coef),2D,0.10730295719812173
se(coef),20,0.10330076504962302
se(coef),40,0.1029284863484003
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.6281581772686985
p,body_weight,0.8560905434408785
p,AL,
p,1D,0.6873176604494872
p,2D,0.8149446571182162
p,20,0.218624547779094
p,40,0.00011235545436109148
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
