param,covariate,resilience.mean.AC.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,-0.5004062340779486
coef,2D,-0.059842742516465396
coef,20,-0.6879529889292904
coef,40,-0.3050015643387965
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.4607507732326619
se(coef),2D,0.46256868005166624
se(coef),20,0.45941614118167085
se(coef),40,0.5120112758962844
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.2774493279107195
p,2D,0.8970644872109651
p,20,0.1342760432664993
p,40,0.5513802944417168
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
