param,covariate,resilience.mean.FA.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,-0.8410940046534168
coef,2D,-1.0122390696328707
coef,20,-1.610384987812814
coef,40,-0.7484648062743847
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.77773335012002
se(coef),2D,0.8165613584068322
se(coef),20,0.7735473358189596
se(coef),40,1.0085660753281878
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.27948883105950073
p,2D,0.21510996210427824
p,20,0.03735907095281883
p,40,0.4580219913291742
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
