param,covariate,weighted.max.abs.growthrate.0.to.180.DS
coef,phenotype,0.30898642888297634
coef,body_weight,-0.0741669350074855
coef,AL,
coef,1D,
coef,2D,
coef,20,
coef,40,
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.08977729471706038
se(coef),body_weight,0.03775492823277876
se(coef),AL,
se(coef),1D,
se(coef),2D,
se(coef),20,
se(coef),40,
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.0005780730172684961
p,body_weight,0.049480181149625005
p,AL,
p,1D,
p,2D,
p,20,
p,40,
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
