param,covariate,weighted.max.abs.growthrate.1080.to.1260.SS
coef,phenotype,-2.607692326933319
coef,body_weight,-0.16129580998406368
coef,AL,
coef,1D,-3.0644850231153877
coef,2D,-0.46759895773723004
coef,20,-4.664971180655308
coef,40,-0.8394703447445194
coef,bwxAL,
coef,bwx1D,0.142174707175087
coef,bwx2D,0.02740703006547033
coef,bwx20,0.15870219557844895
coef,bwx40,-0.02313798866891421
se(coef),phenotype,0.29943465816050313
se(coef),body_weight,0.08589569332936141
se(coef),AL,
se(coef),1D,2.399149763519716
se(coef),2D,2.473500964690045
se(coef),20,2.3983398459742644
se(coef),40,2.3549942516613296
se(coef),bwxAL,
se(coef),bwx1D,0.09186126208918849
se(coef),bwx2D,0.0956039833132756
se(coef),bwx20,0.09259167166891154
se(coef),bwx40,0.09706538562968621
p,phenotype,3.073278220368508e-18
p,body_weight,0.06040713294844242
p,AL,
p,1D,0.2014888472796704
p,2D,0.8500588253418759
p,20,0.05176493349700205
p,40,0.7214932113139756
p,bwxAL,
p,bwx1D,0.12169183648252012
p,bwx2D,0.7743631187558601
p,bwx20,0.08652858635159295
p,bwx40,0.811590037056173
