param,covariate,weighted.max.abs.growthrate.percent.360.to.540.SS
coef,phenotype,-1.05848038368597
coef,body_weight,-0.15935110624366822
coef,AL,
coef,1D,0.9608818822288304
coef,2D,-1.651395723804613
coef,20,3.0197271059319233
coef,40,2.818813877558299
coef,bwxAL,
coef,bwx1D,-0.04541387314403478
coef,bwx2D,0.04252823361608175
coef,bwx20,-0.1027835300407959
coef,bwx40,-0.15789686677358894
se(coef),phenotype,0.10311720671544199
se(coef),body_weight,0.0252381903808775
se(coef),AL,
se(coef),1D,1.7028131249791412
se(coef),2D,1.586526041115832
se(coef),20,1.473004449370558
se(coef),40,2.0027587801264803
se(coef),bwxAL,
se(coef),bwx1D,0.051646490255801154
se(coef),bwx2D,0.0466857316182862
se(coef),bwx20,0.047777001355564
se(coef),bwx40,0.08516159039594354
p,phenotype,1.0150176433688119e-24
p,body_weight,2.7211098232871487e-10
p,AL,
p,1D,0.5725562009049161
p,2D,0.2979275884620415
p,20,0.040359927152355986
p,40,0.1592894020191074
p,bwxAL,
p,bwx1D,0.37922694114960687
p,bwx2D,0.36232322697790054
p,bwx20,0.03145109685529567
p,bwx40,0.06372693409007249
