param,covariate,weighted.max.abs.growthrate.percent.720.to.900.DS
coef,phenotype,0.03783267201696933
coef,body_weight,-0.11123062222435404
coef,AL,
coef,1D,-3.381805106160907
coef,2D,-1.1225113360326386
coef,20,-0.881162390706428
coef,40,3.593705813560642
coef,bwxAL,
coef,bwx1D,0.09475741493470163
coef,bwx2D,0.022980468300118108
coef,bwx20,-0.003214665484973972
coef,bwx40,-0.26452906191932074
se(coef),phenotype,0.007669541213957062
se(coef),body_weight,0.020214724977604532
se(coef),AL,
se(coef),1D,0.9496772301753976
se(coef),2D,1.0078054104158733
se(coef),20,1.0633175371398251
se(coef),40,1.2686344816377118
se(coef),bwxAL,
se(coef),bwx1D,0.02798507200800113
se(coef),bwx2D,0.032254448888654495
se(coef),bwx20,0.03569978234260198
se(coef),bwx40,0.05914955439564614
p,phenotype,8.103970702825522e-07
p,body_weight,3.74538033327314e-08
p,AL,
p,1D,0.00036943843111950987
p,2D,0.2653574736312582
p,20,0.40727889784531424
p,40,0.00461515701281954
p,bwxAL,
p,bwx1D,0.0007091974271893405
p,bwx2D,0.4761710741969848
p,bwx20,0.9282497059846231
p,bwx40,7.741636759316339e-06
