param,covariate,weighted.max.abs.growthrate.percent.900.to.1080.GS
coef,phenotype,0.041879356550852107
coef,body_weight,-0.04409272198090956
coef,AL,
coef,1D,-0.21341892034669585
coef,2D,0.8521087257724843
coef,20,-1.192183132826245
coef,40,0.725682941982639
coef,bwxAL,
coef,bwx1D,-0.0010111784864477637
coef,bwx2D,-0.047333137257077156
coef,bwx20,0.010123831629847558
coef,bwx40,-0.11272192226981927
se(coef),phenotype,0.01604414729110562
se(coef),body_weight,0.022059644175753176
se(coef),AL,
se(coef),1D,1.0005124328804649
se(coef),2D,1.058886772099144
se(coef),20,1.0345327932547985
se(coef),40,1.2857521545356345
se(coef),bwxAL,
se(coef),bwx1D,0.031230548813230844
se(coef),bwx2D,0.034538920669554767
se(coef),bwx20,0.033946546349243205
se(coef),bwx40,0.054271629190811306
p,phenotype,0.009047407957673573
p,body_weight,0.04563046295404551
p,AL,
p,1D,0.8310854756294104
p,2D,0.4209805329267967
p,20,0.2491616872280847
p,40,0.5724795967009103
p,bwxAL,
p,bwx1D,0.9741707145790542
p,bwx2D,0.17055303597046745
p,bwx20,0.7655286804264781
p,bwx40,0.03780198703195092
