param,covariate,weighted.post.max.abs.growthrate.DS
coef,phenotype,0.10359935337481721
coef,body_weight,-0.08926345991558016
coef,AL,
coef,1D,-0.8841923166961766
coef,2D,-0.2710625136612303
coef,20,-0.7473017957928435
coef,40,1.2196709537498964
coef,bwxAL,
coef,bwx1D,0.019728587619297293
coef,bwx2D,-0.0078097784682734355
coef,bwx20,-0.004710432728320749
coef,bwx40,-0.14307125418410996
se(coef),phenotype,0.01722371360099152
se(coef),body_weight,0.009308899869532676
se(coef),AL,
se(coef),1D,0.4550017635778616
se(coef),2D,0.47986579149672004
se(coef),20,0.45830505888275214
se(coef),40,0.5641666396400791
se(coef),bwxAL,
se(coef),bwx1D,0.01365411052894123
se(coef),bwx2D,0.015212741470751391
se(coef),bwx20,0.01511179703629861
se(coef),bwx40,0.02455362133789038
p,phenotype,1.7996949774892027e-09
p,body_weight,8.890405507129e-22
p,AL,
p,1D,0.051983268331367745
p,2D,0.5721611639727793
p,20,0.1029795558977341
p,40,0.030626008614373038
p,bwxAL,
p,bwx1D,0.14849084606725815
p,bwx2D,0.6076919116380487
p,bwx20,0.7552642230883015
p,bwx40,5.646975726314278e-09
