param,covariate,weighted.post.max.abs.growthrate.GS
coef,phenotype,-0.020523838092078757
coef,body_weight,-0.08142432664347211
coef,AL,
coef,1D,-1.1005680095516102
coef,2D,-0.5448754328950467
coef,20,-0.9120248077927836
coef,40,1.147504121244682
coef,bwxAL,
coef,bwx1D,0.02473629210493551
coef,bwx2D,-0.0016377973642752695
coef,bwx20,-0.0012471121869934646
coef,bwx40,-0.1427725005222807
se(coef),phenotype,0.022825658125014345
se(coef),body_weight,0.00949394935107449
se(coef),AL,
se(coef),1D,0.4596258132909733
se(coef),2D,0.48253062286131093
se(coef),20,0.458961026428866
se(coef),40,0.5630285153820913
se(coef),bwxAL,
se(coef),bwx1D,0.01382312609308978
se(coef),bwx2D,0.015329117389669885
se(coef),bwx20,0.015137645322163737
se(coef),bwx40,0.02439664873549686
p,phenotype,0.3685693250337705
p,body_weight,9.785112741576722e-18
p,AL,
p,1D,0.016643635935281204
p,2D,0.2588118536546066
p,20,0.046905679238160476
p,40,0.04154069608710126
p,bwxAL,
p,bwx1D,0.0735365628826999
p,bwx2D,0.9149141300946316
p,bwx20,0.934340706797829
p,bwx40,4.853002223931512e-09
