param,covariate,weighted.post.max.abs.growthrate.SS
coef,phenotype,-2.3459468292694385
coef,body_weight,-0.08260681821640099
coef,AL,
coef,1D,-0.7678538684416839
coef,2D,-0.3852933633431945
coef,20,-0.8819020806640122
coef,40,0.4167491434962071
coef,bwxAL,
coef,bwx1D,0.015355475302443852
coef,bwx2D,-0.006033255058042286
coef,bwx20,0.0018653769493856339
coef,bwx40,-0.09669299980681961
se(coef),phenotype,0.15419537564944613
se(coef),body_weight,0.007162296869548766
se(coef),AL,
se(coef),1D,0.36349520768763893
se(coef),2D,0.37312322756296956
se(coef),20,0.35731320057361254
se(coef),40,0.40330512233633525
se(coef),bwxAL,
se(coef),bwx1D,0.010866211040302743
se(coef),bwx2D,0.011864163015398575
se(coef),bwx20,0.01190224871269854
se(coef),bwx40,0.017501541591757402
p,phenotype,2.8502968458220415e-52
p,body_weight,8.93646652326927e-31
p,AL,
p,1D,0.03465060094021461
p,2D,0.3017832001373418
p,20,0.013581392077798167
p,40,0.30144733334634527
p,bwxAL,
p,bwx1D,0.15761462269661053
p,bwx2D,0.6110833461644678
p,bwx20,0.8754617807450776
p,bwx40,3.2980932476322e-08
