param,covariate,weighted.post.max.abs.growthrate.percent.DS
coef,phenotype,0.009163766672215082
coef,body_weight,-0.0823020699824345
coef,AL,
coef,1D,-1.0349901038072844
coef,2D,-0.46777180764546344
coef,20,-0.8586601649182536
coef,40,1.1597965263265835
coef,bwxAL,
coef,bwx1D,0.02322853533838302
coef,bwx2D,-0.003503393292207941
coef,bwx20,-0.002603039605662686
coef,bwx40,-0.14325107833367015
se(coef),phenotype,0.004219141217504622
se(coef),body_weight,0.009383723371625942
se(coef),AL,
se(coef),1D,0.4587715243736165
se(coef),2D,0.48193041352173255
se(coef),20,0.4600867926773627
se(coef),40,0.5640288382361753
se(coef),bwxAL,
se(coef),bwx1D,0.013786170561241417
se(coef),bwx2D,0.015303292016239757
se(coef),bwx20,0.015179574023156782
se(coef),bwx40,0.02447771681542728
p,phenotype,0.029859382559644623
p,body_weight,1.7751736897418083e-18
p,AL,
p,1D,0.024070420249079773
p,2D,0.33173701593630645
p,20,0.06199934896246754
p,40,0.03975633652605087
p,bwxAL,
p,bwx1D,0.09200483540966836
p,bwx2D,0.8189227820919679
p,bwx20,0.8638439595302456
p,bwx40,4.848048608385652e-09
