param,covariate,weighted.post.max.abs.growthrate.percent.GS
coef,phenotype,-0.043472785797767144
coef,body_weight,-0.08117055336582081
coef,AL,
coef,1D,-1.125658155140059
coef,2D,-0.5506981380321059
coef,20,-0.9488670341041782
coef,40,1.1268037136535864
coef,bwxAL,
coef,bwx1D,0.025214389251866885
coef,bwx2D,-0.0020249187051065345
coef,bwx20,-0.00036667019450161315
coef,bwx40,-0.13998532092437269
se(coef),phenotype,0.007758690004366817
se(coef),body_weight,0.009364578674825291
se(coef),AL,
se(coef),1D,0.4563925679326833
se(coef),2D,0.48289873681196865
se(coef),20,0.4544638102940263
se(coef),40,0.559872819504267
se(coef),bwxAL,
se(coef),bwx1D,0.013723377239945512
se(coef),bwx2D,0.015348904187191715
se(coef),bwx20,0.014943480218773755
se(coef),bwx40,0.024233317524717815
p,phenotype,2.1054072938818302e-08
p,body_weight,4.4044299519150184e-18
p,AL,
p,1D,0.013646920767306248
p,2D,0.25411933193423625
p,20,0.03680843560146986
p,40,0.044156035484774876
p,bwxAL,
p,bwx1D,0.06616101580055905
p,bwx2D,0.8950428660445234
p,bwx20,0.9804241630171301
p,bwx40,7.624129881595328e-09
