param,covariate,weighted.post.max.abs.growthrate.percent.SS
coef,phenotype,-0.6645147942074123
coef,body_weight,-0.1272049295414936
coef,AL,
coef,1D,-0.5853036680079745
coef,2D,0.44476382600869907
coef,20,-0.5211746690599491
coef,40,2.23764037191606
coef,bwxAL,
coef,bwx1D,0.014980009738229919
coef,bwx2D,-0.02401629901538135
coef,bwx20,-0.006951196860848532
coef,bwx40,-0.15014539533534943
se(coef),phenotype,0.0338648137839132
se(coef),body_weight,0.009125971613144686
se(coef),AL,
se(coef),1D,0.4429643845328488
se(coef),2D,0.4764441598874804
se(coef),20,0.4495846587649348
se(coef),40,0.5173658611421726
se(coef),bwxAL,
se(coef),bwx1D,0.013277759257892461
se(coef),bwx2D,0.015105180188128172
se(coef),bwx20,0.014765433593906968
se(coef),bwx40,0.022090048072372366
p,phenotype,9.920190647994438e-86
p,body_weight,3.6816922065290333e-44
p,AL,
p,1D,0.1863901981089392
p,2D,0.3505584013016775
p,20,0.24636004855087917
p,40,1.52487703556886e-05
p,bwxAL,
p,bwx1D,0.2592341365148867
p,bwx2D,0.11184879541487806
p,bwx20,0.6378014259355824
p,bwx40,1.0684229150724934e-11
