param,covariate,weighted.pre.state.transitions.DS.GS
coef,phenotype,0.015970208986933025
coef,body_weight,-0.0010969160147611158
coef,AL,
coef,1D,0.06541082098970774
coef,2D,0.019335371737024747
coef,20,-0.14913378798814694
coef,40,-0.4145837727664497
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.01287472654247709
se(coef),body_weight,0.004837235875201398
se(coef),AL,
se(coef),1D,0.10788188213594467
se(coef),2D,0.10663104666745087
se(coef),20,0.10252171946439502
se(coef),40,0.10190622081136398
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.2148160475955438
p,body_weight,0.8206064450853559
p,AL,
p,1D,0.5443030297554812
p,2D,0.8561088243874222
p,20,0.14576464466158892
p,40,4.735998734198574e-05
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
