param,covariate,weighted.pre.state.transitions.DS.SS
coef,phenotype,0.0008803093826338902
coef,body_weight,-0.0011558167319229173
coef,AL,
coef,1D,0.07591022145683607
coef,2D,0.041023766373329565
coef,20,-0.11341347589309136
coef,40,-0.3736144818192848
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.0034620982702219475
se(coef),body_weight,0.004839036921117397
se(coef),AL,
se(coef),1D,0.10807854188376874
se(coef),2D,0.10677086416683028
se(coef),20,0.10275536419947186
se(coef),40,0.10214144020783984
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.7992866054497897
p,body_weight,0.8112198523666743
p,AL,
p,1D,0.4824536641768966
p,2D,0.7008135570165972
p,20,0.26971324332651025
p,40,0.00025437463980658854
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
