param,covariate,weighted.pre.state.transitions.GS.SS
coef,phenotype,59089838.76487186
coef,body_weight,-0.030719542766992455
coef,AL,
coef,1D,-0.6507029969344782
coef,2D,-0.30505622233707436
coef,20,-0.6799909502127143
coef,40,0.45276116953591133
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,388109640.10269475
se(coef),body_weight,0.025177264316548077
se(coef),AL,
se(coef),1D,0.36826814471399977
se(coef),2D,0.3790426687681931
se(coef),20,0.3600139145180028
se(coef),40,0.412679667764492
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.8789894624800852
p,body_weight,0.22241548834181946
p,AL,
p,1D,0.0772404232948041
p,2D,0.4209310171128676
p,20,0.058919873249219594
p,40,0.2725867646318006
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
