param,covariate,weighted.pre.state.transitions.SS.SS
coef,phenotype,-0.0029729493919062313
coef,body_weight,-0.013528407123262767
coef,AL,
coef,1D,-0.17328641550662874
coef,2D,0.050728225279395384
coef,20,-0.3621606985657487
coef,40,-0.10759263002124847
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.005712165929989423
se(coef),body_weight,0.0159948166245318
se(coef),AL,
se(coef),1D,0.27220928943394385
se(coef),2D,0.2750351704579747
se(coef),20,0.2613259904123148
se(coef),40,0.28062309152649156
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.6027435478219932
p,body_weight,0.39766463167343424
p,AL,
p,1D,0.5243902556780229
p,2D,0.8536661864750669
p,20,0.16579028630207138
p,40,0.7014186152761661
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
