param,covariate,weighted.state.transitions.180.to.360.GS.DS
coef,phenotype,-0.002391580199494817
coef,body_weight,-0.004169886444130666
coef,AL,
coef,1D,0.0071944024738237015
coef,2D,0.042649740582100276
coef,20,-0.048206744461900125
coef,40,-0.38060674540311934
coef,bwxAL,
coef,bwx1D,0.0007360934806574344
coef,bwx2D,-0.0013335333721249067
coef,bwx20,-0.005143809698779561
coef,bwx40,-0.004380548185701796
se(coef),phenotype,0.004144019304650845
se(coef),body_weight,0.0036432904609701774
se(coef),AL,
se(coef),1D,0.11062098180353643
se(coef),2D,0.10764945757047863
se(coef),20,0.10218329701276237
se(coef),40,0.10102621501878542
se(coef),bwxAL,
se(coef),bwx1D,0.005961154172767727
se(coef),bwx2D,0.0062688078973508555
se(coef),bwx20,0.006187440461358272
se(coef),bwx40,0.007704449911680183
p,phenotype,0.5638610387391674
p,body_weight,0.25240035292114343
p,AL,
p,1D,0.948144931830193
p,2D,0.6919641690182674
p,20,0.6370928496525037
p,40,0.0001649527715788207
p,bwxAL,
p,bwx1D,0.9017256607568402
p,bwx2D,0.8315413150227332
p,bwx20,0.4057867914974711
p,bwx40,0.56964542488289
