param,covariate,weighted.state.transitions.540.to.720.SS.GS
coef,phenotype,-0.07244848111838985
coef,body_weight,-0.09175390384247674
coef,AL,
coef,1D,-1.2881045770698762
coef,2D,-0.4510522342263764
coef,20,1.1954135632011411
coef,40,4.882626714442682
coef,bwxAL,
coef,bwx1D,0.02063908569136011
coef,bwx2D,-0.00814442735142555
coef,bwx20,-0.0709803162483791
coef,bwx40,-0.3079667330036815
se(coef),phenotype,0.006285105354935263
se(coef),body_weight,0.015431847257130172
se(coef),AL,
se(coef),1D,1.0370295070797582
se(coef),2D,1.0022862011715619
se(coef),20,1.0144349603357512
se(coef),40,1.619438438765743
se(coef),bwxAL,
se(coef),bwx1D,0.02827576924815016
se(coef),bwx2D,0.029655884147088498
se(coef),bwx20,0.03448102609897179
se(coef),bwx40,0.07572882752994142
p,phenotype,9.643344771751787e-31
p,body_weight,2.7519410201625272e-09
p,AL,
p,1D,0.21419603069186668
p,2D,0.6526935750514822
p,20,0.2386358398488279
p,40,0.002569688854542099
p,bwxAL,
p,bwx1D,0.4654383037742662
p,bwx2D,0.7835996893696977
p,bwx20,0.03953903536080332
p,bwx40,4.768272595969017e-05
